measurementId,elapsedSeconds,outsideTemperatureC,cabinSensorMedianC
1,0.000000000,46.466959188,49.374551282
2,13.835511145,46.466959188,49.304551282
3,27.671022291,46.466959188,49.304551282
4,41.506533436,46.466959188,49.304551282
5,55.342044581,46.466959188,49.244551282
6,69.177555726,46.416959188,49.244551282
7,83.013066872,46.416959188,49.184551282
8,96.848578017,46.416959188,49.184551282
9,110.684089162,46.436959188,49.184551282
10,124.519600307,46.436959188,49.124551282
11,138.355111453,46.436959188,49.124551282
12,152.190622598,46.436959188,49.124551282
13,166.026133743,46.396959188,49.124551282
14,179.861644889,46.396959188,49.124551282
15,193.697156034,46.396959188,49.124551282
16,207.532667179,46.356959188,49.124551282
17,221.368178324,46.296959188,49.124551282
18,235.203689470,46.266959188,49.124551282
19,249.039200615,46.266959188,49.124551282
20,262.874711760,46.266959188,49.054551282
21,276.710222905,46.146959188,49.054551282
22,290.545734051,46.096959188,49.124551282
23,304.381245196,46.166959188,49.124551282
24,318.216756341,46.116959188,49.124551282
25,332.052267487,46.046959188,49.124551282
26,345.887778632,46.056959188,49.124551282
27,359.723289777,46.046959188,49.184551282
28,373.558800922,46.116959188,49.184551282
29,387.394312068,46.116959188,49.184551282
30,401.229823213,46.116959188,49.184551282
31,415.065334358,46.066959188,49.184551282
32,428.900845503,45.996959188,49.184551282
33,442.736356649,45.956959188,49.184551282
34,456.571867794,45.896959188,49.184551282
35,470.407378939,45.816959188,49.244551282
36,484.242890085,45.756959188,49.184551282
37,498.078401230,45.686959188,49.244551282
38,511.913912375,45.546959188,49.244551282
39,525.749423520,45.266959188,49.244551282
40,539.584934666,45.036959188,49.304551282
41,553.420445811,44.876959188,49.304551282
42,567.255956956,44.676959188,49.304551282
43,581.091468101,44.376959188,49.304551282
44,594.926979247,44.316959188,49.304551282
45,608.762490392,44.036959188,49.374551282
46,622.598001537,43.956959188,49.374551282
47,636.433512683,43.946959188,49.374551282
48,650.269023828,43.766959188,49.374551282
49,664.104534973,43.516959188,49.434551282
50,677.940046118,43.456959188,49.434551282
51,691.775557264,43.286959188,49.494551282
52,705.611068409,42.916959188,49.494551282
