fireAgeS,heatReleaseRateKw
0,7.290000
10,1.810000
20,43.610000
30,263.150000
40,561.080000
50,953.800000
60,1099.300000
70,1130.400000
80,1149.600000
90,968.170000
100,980.420000
110,835.610000
120,629.730000
130,645.730000
140,662.850000
150,713.610000
160,631.890000
170,800.300000
180,861.000000
190,858.530000
200,1077.300000
210,1185.200000
220,1454.700000
230,1530.800000
240,1470.700000
250,1775.400000
260,1818.300000
270,1971.600000
280,2213.800000
290,2304.300000
300,2381.000000
310,2547.600000
320,2656.900000
330,2953.100000
340,3170.500000
350,3429.300000
360,3623.900000
370,3773.900000
380,3771.800000
390,4211.500000
400,4244.600000
410,4283.200000
420,4485.000000
430,4552.100000
440,4944.400000
450,4957.100000
460,5317.500000
470,5343.500000
480,6054.900000
490,6854.200000
500,7474.400000
510,7967.100000
520,7666.500000
530,7728.100000
540,8662.100000
550,9501.200000
560,10322.000000
570,11074.000000
580,11159.000000
590,10681.000000
600,11011.000000
610,10451.000000
620,11272.000000
630,10838.000000
640,10313.000000
650,10328.000000
660,9962.500000
670,10016.000000
680,9500.000000
690,9101.100000
700,8639.900000
710,8444.000000
720,8547.000000
730,8281.700000
740,7851.000000
750,7786.000000
760,8344.700000
770,8295.200000
780,7586.800000
790,8133.700000
800,8114.300000
810,7917.600000
820,7093.400000
830,6402.400000
840,6722.600000
850,7136.300000
860,7612.800000
870,7309.100000
880,7020.200000
890,6694.800000
900,7299.000000
910,6673.100000
920,7029.200000
930,7267.300000
940,7383.400000
950,7052.700000
960,7141.900000
970,7009.000000
980,6646.200000
990,6659.400000
1000,6417.400000
1010,6397.600000
1020,6372.300000
1030,6701.700000
1040,7365.100000
1050,6698.300000
1060,6588.600000
1070,6203.700000
1080,5882.500000
1090,5806.400000
1100,5487.400000
1110,5872.300000
1120,5504.700000
1130,5500.700000
1140,5493.500000
1150,5399.400000
1160,5597.900000
1170,5198.800000
1180,5257.400000
1190,4941.900000
1200,4694.900000
1210,4661.100000
1220,4586.400000
1230,4632.300000
1240,4559.500000
1250,4506.200000
1260,4191.300000
1270,4032.500000
1280,4248.500000
1290,3969.000000
1300,3891.300000
1310,3816.900000
1320,3487.500000
1330,3222.000000
1340,3326.000000
1350,3142.600000
1360,3340.100000
1370,3290.400000
1380,3174.800000
1390,3225.800000
1400,2848.300000
1410,2857.400000
1420,2822.200000
1430,2688.000000
1440,2695.500000
1450,2644.100000
1460,2685.700000
1470,2483.900000
1480,2343.100000
1490,2247.200000
1500,2288.400000
1510,2222.900000
1520,2355.700000
1530,2240.500000
1540,2156.500000
1550,2154.800000
1560,2127.700000
1570,1984.700000
1580,1944.600000
1590,1922.900000
1600,1915.100000
1610,1814.200000
1620,1785.300000
1630,1677.900000
1640,1687.300000
1650,1610.200000
1660,1681.900000
1670,1648.200000
1680,1687.800000
1690,1599.100000
1700,1493.400000
1710,1481.500000
1720,1593.500000
1730,1433.600000
1740,1405.900000
1750,1394.700000
1760,1437.400000
1770,1409.600000
1780,1389.100000
1790,1356.300000
1800,1335.200000
1810,1311.000000
1820,1307.900000
1830,1310.600000
1840,1281.100000
1850,1264.000000
1860,1146.800000
1870,1124.200000
1880,1172.600000
1890,1228.200000
1900,1158.000000
1910,1144.000000
1920,1196.000000
1930,1142.300000
1940,1181.300000
1950,1056.100000
1960,1084.500000
1970,1051.800000
1980,1013.300000
1990,1060.600000
2000,979.360000
2010,1068.200000
2020,1048.300000
2030,1000.800000
2040,1025.300000
2050,1020.000000
2060,961.700000
2070,1087.300000
2080,941.680000
2090,1019.800000
2100,915.730000
2110,941.190000
2120,946.980000
2130,928.520000
2140,980.850000
2150,956.910000
2160,874.050000
2170,876.800000
2180,926.460000
2190,925.150000
2200,902.290000
2210,900.470000
2220,936.530000
2230,905.140000
2240,906.940000
2250,884.030000
2260,847.860000
2270,856.020000
2280,890.850000
2290,912.280000
2300,879.760000
