Time (s),Heat Release Rate (kW),Burner HRR (kW),Exhaust Mass Flow Rate (kg/s),Oxygen (Vol Fr),CO2 (Vol Fr),CO (Vol Fr),Radiant Heat Flux (kW/m^2),Ksmoke (1/m)
-290,-0.38,-0.01,73.621,0.20945,0.0003984,8e-07,-0.086726,-0.001
-289,-0.38,-0.01,73.621,0.20945,0.0003984,8e-07,-0.086726,-0.001
-288,-0.4,0.04,73.621,0.20946,0.0003985,8e-07,-0.079475,-0.001
-287,-0.3,0.07,73.621,0.20945,0.0003979,9e-07,-0.074385,-0.001
-286,-0.24,0.18,73.621,0.20945,0.0003978,9e-07,-0.06773,-0.001
-285,-0.13,0.06,73.622,0.20944,0.0003975,8e-07,-0.073131,-0.001
-284,-0.25,0.1,73.622,0.20946,0.0003979,8e-07,-0.067037,-0.001
-283,-0.29,0.03,73.622,0.20945,0.0003978,9e-07,-0.066575,-0.001
-282,-0.48,0.06,73.623,0.20945,0.0003986,9e-07,-0.065003,-0.001
-281,-0.4,0.05,73.622,0.20945,0.0003982,1e-06,-0.084443,-0.001
-280,-0.34,0.14,73.623,0.20946,0.0003979,1e-06,-0.090279,-0.001
-279,-0.33,0.13,73.52,0.20945,0.0003979,1e-06,-0.09554,-0.001
-278,-0.31,0.09,73.632,0.20946,0.0003978,1e-06,-0.095779,-0
-277,-0.33,0.12,73.797,0.20946,0.0003979,1e-06,-0.097107,0
-276,-0.43,0.07,73.988,0.20945,0.0003983,1e-06,-0.092367,-0
-275,-0.45,0.11,73.956,0.20944,0.0003984,1e-06,-0.089054,-0
-274,-0.46,0.06,74.041,0.20945,0.0003985,9e-07,-0.093254,-0.001
-273,-0.57,0.06,74.108,0.20946,0.0003989,9e-07,-0.098331,-0
-272,-0.6,0.07,74.152,0.20945,0.000399,9e-07,-0.096459,0
-271,-0.64,0.04,74.064,0.20945,0.0003991,9e-07,-0.093335,0
-270,-0.58,0.08,73.962,0.20945,0.0003987,1.1e-06,-0.095948,0.001
-269,-0.52,0.03,74.085,0.20945,0.0003985,1.1e-06,-0.096358,0.001
-268,-0.46,0.07,74.054,0.20944,0.0003985,9e-07,-0.092559,0.001
-267,-0.57,0.06,73.939,0.20946,0.0003989,9e-07,-0.088369,0
-266,-0.59,0.12,73.854,0.20945,0.000399,9e-07,-0.086827,0
-265,-0.5,0.09,73.997,0.20945,0.0003987,9e-07,-0.08191,-0
-264,-0.49,0.14,73.852,0.20945,0.0003985,1e-06,-0.081125,-0
-263,-0.46,-0.02,73.806,0.20946,0.0003984,1e-06,-0.082314,-0
-262,-0.47,0,73.736,0.20945,0.0003985,1e-06,-0.080031,-0
-261,-0.47,0.07,73.833,0.20945,0.0003985,1e-06,-0.080937,0
-260,-0.45,-0.01,74.055,0.20946,0.0003985,9e-07,-0.085925,-0
-259,-0.4,0.03,74.098,0.20945,0.0003984,9e-07,-0.093694,-0.001
-258,-0.5,-0.02,74.153,0.20945,0.0003986,9e-07,-0.10372,0
-257,-0.4,-0.01,74.38,0.20945,0.0003985,8e-07,-0.10393,-0
-256,-0.43,0,74.399,0.20945,0.0003985,8e-07,-0.094503,-0
-255,-0.48,0.1,74.384,0.20945,0.0003988,8e-07,-0.080455,-0.001
-254,-0.52,0.09,74.502,0.20945,0.000399,8e-07,-0.091797,-0
-253,-0.54,0.08,74.629,0.20946,0.000399,8e-07,-0.10463,0
-252,-2.42,0.15,74.727,0.20945,0.000399,8e-07,-0.10811,0.001
-251,4.44,0.04,74.608,0.20945,0.0003992,9e-07,-0.10645,0
-250,-0.85,0.05,74.528,0.20945,0.0003991,9e-07,-0.10371,-0
-249,9.39,0.07,74.552,0.20944,0.0003988,9e-07,-0.112,-0
-248,0.88,0.15,74.35,0.20945,0.0003992,9e-07,-0.11022,0.001
-247,-11.84,0.08,73.906,0.20946,0.0003991,9e-07,-0.10443,0
-246,-5.85,0.13,73.64,0.20945,0.0003992,9e-07,-0.1058,0
-245,7.36,0.07,73.663,0.20944,0.000399,9e-07,-0.09623,0
-244,-7.03,0.11,73.564,0.20945,0.0003985,9e-07,-0.10605,-0
-243,-14.06,0.07,73.427,0.20946,0.0003985,8e-07,-0.10827,-0.001
-242,-0.94,0,73.398,0.20945,0.0003985,8e-07,-0.10666,-0
-241,-1.63,0.04,73.339,0.20945,0.0003986,8e-07,-0.10045,-0
-240,-4.31,0.09,73.275,0.20945,0.0003985,8e-07,-0.090489,-0.001
-239,-5.06,0.15,73.236,0.20945,0.0003981,8e-07,-0.089441,-0.001
-238,-6.44,0.04,73.221,0.20945,0.0003979,9e-07,-0.088397,-0
-237,-2.23,0.07,73.527,0.20945,0.0003973,1e-06,-0.089417,0
-236,-11.28,0.16,73.635,0.20946,0.0003973,1.1e-06,-0.086866,-0.001
-235,-0.51,0.03,73.522,0.20945,0.0003975,1.2e-06,-0.082438,-0.001
-234,5.97,0.14,73.554,0.20944,0.0003972,1.1e-06,-0.078835,-0.001
-233,-0.22,0.09,73.457,0.20945,0.0003973,1.1e-06,-0.072806,0
-232,-3.12,0.09,73.376,0.20945,0.0003975,9e-07,-0.077198,0.001
-231,16.39,0.09,73.531,0.20944,0.0003976,9e-07,-0.08327,-0.001
